DBN,RH School,BN,CEP URL,Total Enrollment,Num Female,Num Black,Num Hispanic
04M096,y,M096,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M096.pdf,394,198,93,274
04M102,n,M102,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M102.pdf,265,111,81,130
04M108,n,M108,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M108.pdf,470,216,156,274
04M112,n,M112,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M112.pdf,319,143,76,212
04M146,n,M146,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M146.pdf,383,184,86,268
04M155,n,M155,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M155.pdf,248,123,24,212
04M171,n,M171,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M171.pdf,773,409,209,443
04M182,n,M182,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M182.pdf,314,164,17,295
04M206,n,M206,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M206.pdf,477,205,117,321
04M224,n,M224,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M224.pdf,185,95,55,83
04M310,n,M310,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M310.pdf,101,43,38,57
04M372,n,M372,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M372.pdf,569,273,57,490
04M375,n,M375,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M375.pdf,313,150,119,169
04M377,n,M377,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M377.pdf,168,112,67,93
04M435,n,M435,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M435.pdf,1650,811,309,873
04M495,n,M495,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M495.pdf,389,194,99,240
04M497,n,M497,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M497.pdf,189,99,28,73
04M555,n,M555,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M555.pdf,508,331,133,251
04M610,n,M610,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M610.pdf,480,480,123,283
04M680,n,M680,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M680.pdf,313,159,82,204
04M825,n,M825,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M825.pdf,240,127,52,169
04M964,n,M964,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M964.pdf,483,239,154,197
05M030,n,M030,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M030.pdf,253,124,103,136
05M036,n,M036,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M036.pdf,355,178,138,202
05M046,n,M046,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M046.pdf,630,317,305,306
05M092,n,M092,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M092.pdf,259,118,162,88
05M123,n,M123,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M123.pdf,471,212,239,194
05M125,n,M125,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M125.pdf,284,133,108,104
05M129,n,M129,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M129.pdf,406,193,197,180
05M133,n,M133,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M133.pdf,225,82,100,102
05M148,n,M148,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M148.pdf,374,0,260,90
05M154,n,M154,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M154.pdf,287,123,156,94
05M157,n,M157,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M157.pdf,250,115,122,115
05M161,n,M161,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M161.pdf,806,394,164,600
05M175,y,M175,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M175.pdf,347,168,189,124
05M194,n,M194,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M194.pdf,193,98,109,68
